agent,aliases,target_gene,modality,modality_detail,sponsor,development_stage,highest_phase,fda_approved,approval_year,approved_indication,brand_name,indications,num_trials,key_trials,key_pmids,notes
trastuzumab,herceptin; anti-HER2 mAb,ERBB2,mAb,,Genentech / Roche,fda_approved,approved,yes,1998,,Herceptin,HER2+ breast cancer; HER2+ gastric/GEJ adenocarcinoma,5,"NCT07012031|Phase 1/Phase 2|RECRUITING|National Cancer Institute (NCI); NCT07137416|Phase 1|RECRUITING|National Cancer Institute (NCI); NCT07009184|EARLY_Phase 1|RECRUITING|Radboud University Medical Center; NCT07043725|Phase 3|RECRUITING|Chia Tai Tianqing Pharmaceutical Group Nanjing Shunxin Pharmaceutical Co., Ltd.; NCT06210776|Not applicable / unspecified|RECRUITING|Daiichi Sankyo",42125714; 42125712; 42124418; 42123432; 42118005; 42116617; 42116119; 42116000,
zanidatamab,ZW25,ERBB2,TCE,,Jazz Pharmaceuticals / Zymeworks,fda_approved,approved,yes,2024,,Ziihera,HER2+ biliary tract cancer,2,NCT01042379|Phase 2|RECRUITING|QuantumLeap Healthcare Collaborative; NCT02892123|Phase 1|COMPLETED|Jazz Pharmaceuticals,42122244; 41870284; 41613785; 41402143; 41324998; 41264278; 41202501; 41060610,
seribantumab,MM-121,ERBB3,mAb,,Merrimack (Elevation Oncology),clinical_completed_unapproved,phase_2,no,,,,NRG1-fusion solid tumors,3,NCT04790695|Phase 2|COMPLETED|Ottawa Hospital Research Institute; NCT01447225|Phase 1|COMPLETED|Merrimack Pharmaceuticals; NCT01451632|Phase 1|COMPLETED|Merrimack Pharmaceuticals,41555547; 41428976; 38231075; 37316561; 36769161; 36644317; 36455193; 36140214,
patritumab deruxtecan,HER3-DXd; U3-1402,ERBB3,ADC,,Daiichi Sankyo / Merck,clinical_active,phase_3,no,,,,EGFR-mutant NSCLC; HR+ breast cancer,5,NCT07286149|Phase 1/Phase 2|RECRUITING|Merck Sharp & Dohme LLC; NCT06222489|Phase 2|RECRUITING|The Netherlands Cancer Institute; NCT06731907|Phase 2|RECRUITING|Merck Sharp & Dohme LLC; NCT06686394|Phase 1/Phase 2|RECRUITING|Merck Sharp & Dohme LLC; NCT07060807|Phase 3|RECRUITING|Merck Sharp & Dohme LLC,42079860; 42068413; 41986659; 41901620; 41654098; 41591580; 41483736; 41392922,
tisotumab vedotin-tftv,tisotumab vedotin; HuMax-TF-ADC,F3,ADC,,Pfizer / Genmab,fda_approved,approved,yes,2021,,Tivdak,Recurrent/metastatic cervical cancer,1,"NCT03786081|Phase 1/Phase 2|TERMINATED|Seagen, a wholly owned subsidiary of Pfizer",40115377; 39877468; 38230392; 37247360; 37009403; 35962528; 34941590,
RO7300490,FAP-4-1BBL,FAP,TCE,,Roche,clinical_completed_unapproved,phase_1,no,,,,FAP+ solid tumors (FAP-4-1BBL clinical),1,NCT04857138|Phase 1|COMPLETED|Hoffmann-La Roche,42067656,
177Lu-FAP-2286,FAP-2286; LuMIERE,FAP,RLT,,Novartis (Clovis Oncology origin),clinical_active,phase_2,no,,,,FAP+ solid tumors (LuMIERE),5,NCT07144085|Phase 1|RECRUITING|Yi Tian; NCT04939610|Phase 1/Phase 2|RECRUITING|Novartis Pharmaceuticals; NCT07523607|Phase 2|NOT_YET_RECRUITING|Odense University Hospital; NCT06880757|Phase 2|NOT_YET_RECRUITING|Ankara University; NCT05180162|Phase 1|COMPLETED|Thomas Hope,41921933; 39102810; 34168013,
simlukafusp alfa,FAP-IL2v; RO6874281,FAP,fusion_protein,,Roche,preclinical_published,preclinical,no,,,,FAP-IL2v immunocytokine (clinical),0,,41956546; 41741368; 39895413; 39422604; 39395231; 39140264; 38709220; 38630781,
gallium Ga 68 gozetotide,68Ga-PSMA-11,FOLH1,RLT,,Novartis,fda_approved,approved,yes,2022,,Locametz,PSMA-PET imaging in prostate cancer,5,NCT06444412|Phase 2|RECRUITING|Mayo Clinic; NCT07150715|Phase 2|RECRUITING|Jonsson Comprehensive Cancer Center; NCT06696326|NA|RECRUITING|The First Affiliated Hospital of Xiamen University; NCT06004661|Phase 2|RECRUITING|Novartis Pharmaceuticals; NCT06067269|Phase 2|RECRUITING|Jonsson Comprehensive Cancer Center,,Prostate-cancer-restricted use of PSMA-directed binders.
lutetium Lu 177 vipivotide tetraxetan,177Lu-PSMA-617; Lu-177 PSMA-617,FOLH1,RLT,,Novartis,fda_approved,approved,yes,2022,,Pluvicto,PSMA+ metastatic castration-resistant prostate cancer,5,"NCT06943495|Phase 1|RECRUITING|Jean-Mathieu Beauregard; NCT06449781|Phase 2|RECRUITING|Maria Sklodowska-Curie National Research Institute of Oncology; NCT07150715|Phase 2|RECRUITING|Jonsson Comprehensive Cancer Center; NCT06574880|Phase 1/Phase 2|RECRUITING|Angela Y. Jia, MD PhD; NCT06004661|Phase 2|RECRUITING|Novartis Pharmaceuticals",42107766; 42097922; 41741857; 41598623; 41595153; 41217772; 39287944; 38395466,Prostate-cancer-restricted use of PSMA-directed binders.
piflufolastat F 18,18F-DCFPyL; 18F-piflufolastat,FOLH1,RLT,,Lantheus,fda_approved,approved,yes,2021,,Pylarify,PSMA-PET imaging in prostate cancer,5,NCT03392181|EARLY_Phase 1|ACTIVE_NOT_RECRUITING|Northwestern University; NCT03471650|Phase 2|ACTIVE_NOT_RECRUITING|Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins; NCT03181867|Phase 2|ACTIVE_NOT_RECRUITING|National Cancer Institute (NCI); NCT05712473|Not applicable / unspecified|NOT_YET_RECRUITING|Specialty Networks Research.; NCT03793543|Phase 1|COMPLETED|Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,,Prostate-cancer-restricted use of PSMA-directed binders.
JNJ-78278343,pasritamig,FOLH1,TCE,,Janssen,clinical_active,phase_1,no,,,,mCRPC (PSMA x CD3),1,"NCT07082920|Phase 1|RECRUITING|Janssen Research & Development, LLC",,Prostate-cancer-restricted use of PSMA-directed binders.
mirvetuximab soravtansine-gynx,mirvetuximab soravtansine; IMGN853,FOLR1,ADC,,ImmunoGen / AbbVie,fda_approved,approved,yes,2022,,Elahere,FRalpha-high platinum-resistant epithelial ovarian/fallopian tube/primary peritoneal cancer,0,,41708474; 41617329; 41585887; 41552550; 41400830; 41301065; 40700855; 40179908,
farletuzumab ecteribulin,MORAb-202,FOLR1,ADC,,Eisai,clinical_completed_unapproved,phase_2,no,,,,"FRalpha-expressing solid tumors (NSCLC, ovarian)",1,NCT05613088|Phase 2|COMPLETED|Bristol-Myers Squibb,41993769,
vantictumab,OMP-18R5,FZD7,mAb,,OncoMed / Mereo BioPharma,clinical_completed_unapproved,phase_2,no,,,,"Solid tumors (breast, NSCLC, pancreatic) - discontinued",0,,42075866; 42072686; 41851243; 41696244,"Pan-Frizzled mAb that binds FZD1/2/5/7/8 (includes FZD7); bone-loss toxicity led to halt. FZD7-selective binders (scFv F7L13, peptide F7-21) remain preclinical."
ERY974,GPC3 x CD3 T-cell engager,GPC3,TCE,,Chugai,clinical_active,phase_1,no,,,,GPC3+ solid tumors,2,NCT05022927|Phase 1|ACTIVE_NOT_RECRUITING|Chugai Pharmaceutical; NCT02748837|Phase 1|COMPLETED|Chugai Pharmaceutical,36071036; 35853994; 35304238; 32247040; 32217763; 31326447; 30326272; 28978751,
codrituzumab,GC33; RG7686,GPC3,mAb,,Chugai / Roche,clinical_active,phase_2,no,,,,"HCC (clinical, discontinued)",2,NCT04928677|Phase 1|RECRUITING|Memorial Sloan Kettering Cancer Center; NCT01507168|Phase 2|COMPLETED|Hoffmann-La Roche,41015658; 40929683; 40657181; 39844999; 39113871; 35670495; 33180600; 31528232,
talquetamab,talquetamab-tgvs; Talvey; JNJ-64407564,GPRC5D,TCE,,Janssen / Johnson & Johnson,fda_approved,approved,yes,2023,,Talvey,Relapsed/refractory multiple myeloma,5,"NCT06993675|Phase 2|RECRUITING|Noffar Bar; NCT06572605|Phase 1/Phase 2|RECRUITING|City of Hope Medical Center; NCT06348108|Phase 1|RECRUITING|Alfred Chung, MD; NCT06827860|Phase 2|RECRUITING|Larysa Sanchez; NCT06500884|Phase 2|RECRUITING|Janssen Research & Development, LLC",42108083; 42063705; 42056076,GPRC5DxCD3 bispecific T-cell engager; first FDA-approved GPRC5D-directed therapy (accelerated approval Aug 2023). MonumenTAL-1 pivotal data; combo programs ongoing.
BCMA/GPRC5D dual CAR-T,dual-target CAR-T; BCMA+GPRC5D CAR,GPRC5D,CAR_T,,Multiple academic / industry programs,clinical_active,phase_1,no,,,,Relapsed/refractory multiple myeloma,5,"NCT07523555|Phase 1/Phase 2|RECRUITING|Beijing Biotech; NCT06793475|NA|RECRUITING|Institute of Hematology & Blood Diseases Hospital, China; NCT07003568|Phase 1|RECRUITING|Beijing GoBroad Hospital; NCT07032129|Phase 1/Phase 2|RECRUITING|Essen Biotech; NCT06515262|NA|RECRUITING|920th Hospital of Joint Logistics Support Force of People's Liberation Army of China",42098480; 42066212; 42063705; 42043585,"Multiple academic and industry dual BCMA/GPRC5D CAR-T programs (NCT07196124, NCT06068400 terminated, etc.)."
MCARH109,MCARH-109,GPRC5D,CAR_T,,Memorial Sloan Kettering / Juno,clinical_active,phase_1,no,,,,Relapsed/refractory multiple myeloma,5,"NCT07003568|Phase 1|RECRUITING|Beijing GoBroad Hospital; NCT07032129|Phase 1/Phase 2|RECRUITING|Essen Biotech; NCT06515262|NA|RECRUITING|920th Hospital of Joint Logistics Support Force of People's Liberation Army of China; NCT06644443|Phase 1/Phase 2|RECRUITING|Shenzhen University General Hospital; NCT05998928|Phase 2|RECRUITING|Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",39631041; 38307865; 36170501; 42098480; 42066212; 42063705; 42043585,Academic autologous GPRC5D CAR-T from MSKCC (Mailankody et al. 2022 NEJM).
forimtamig,RG6234; RO7425781,GPRC5D,TCE,,Roche / Genentech,clinical_active,phase_1,no,,,,Relapsed/refractory multiple myeloma,0,,39686589; 39676006; 39476124,2+1 GPRC5DxCD3 T-cell engager in Phase 1.
PF-07062119,GUCY2C x CD3 bispecific,GUCY2C,TCE,,Pfizer,preclinical_published,phase_1,no,,,,"GUCY2C+ GI cancers (CRC, gastric)",0,,34143379; 33459147; 31996389,
GUCY2C CAR-T,anti-GUCY2C CAR-T,GUCY2C,CAR_T,,Thomas Jefferson / Targeted Diagnostics,clinical_active,preclinical,no,,,,GUCY2C+ GI cancers (early clinical),1,"NCT07152210|NA|RECRUITING|Guangzhou Bio-gene Technology Co., Ltd",,
IL13Ra2-CAR T cells,IL13(EQ)BBzeta CAR-T; IL13Ralpha2 CAR-T,IL13RA2,CAR_T,,City of Hope,clinical_active,phase_1,no,,,,Recurrent glioblastoma (intracranial/intraventricular),1,NCT04003649|Phase 1|ACTIVE_NOT_RECRUITING|City of Hope Medical Center,,"Glioblastoma-restricted; binders mainly relevant to GBM, not pan-solid."
cintredekin besudotox,IL-13-PE38QQR; IL13-cytotoxin,IL13RA2,fusion_protein,,NeoPharm,preclinical_published,preclinical,no,,,,Recurrent glioblastoma (PRECISE phase 3 negative),0,,35872639; 21030678; 20888252; 20511192; 20090941; 18476792; 18091279,"Glioblastoma-restricted; binders mainly relevant to GBM, not pan-solid."
tagraxofusp-erzs,SL-401; DT388-IL3; Elzonris,IL3RA,fusion_protein,Diphtheria toxin – IL-3 fusion (immunotoxin) targeting CD123/IL3RA,Stemline / Menarini,fda_approved,approved,yes,2018,,Elzonris,Blastic plasmacytoid dendritic cell neoplasm (BPDCN),5,NCT06498973|Phase 1|RECRUITING|City of Hope Medical Center; NCT04216524|Phase 2|RECRUITING|M.D. Anderson Cancer Center; NCT05038592|Phase 1/Phase 2|ACTIVE_NOT_RECRUITING|M.D. Anderson Cancer Center; NCT05032183|Phase 1/Phase 2|TERMINATED|M.D. Anderson Cancer Center; NCT04317781|Phase 2|TERMINATED|M.D. Anderson Cancer Center,41604234; 41207640; 40683678; 39232162; 38566191,First-in-class CD123-directed therapy; FDA approved Dec 2018 for BPDCN; also in AML / CMML / MF trials.
flotetuzumab,MGD006,IL3RA,TCE,,MacroGenics / Servier,clinical_completed_unapproved,phase_2,no,,,,Acute myeloid leukemia,1,NCT03739606|Phase 2|WITHDRAWN|City of Hope Medical Center,41431442; 41034071; 41207640; 40683678; 39232162; 38566191,CD123xCD3 DART bispecific; Phase 1/2 in AML completed; development paused 2022.
pivekimab sunirine,IMGN632,IL3RA,ADC,,ImmunoGen / AbbVie,clinical_completed_unapproved,phase_2,no,,,,Acute myeloid leukemia; BPDCN,0,,40119158; 38423051; 41816820; 41671533; 41641634; 41207640; 40683678,Anti-CD123 IGN ADC; pivotal Phase 2 BPDCN data 2023; combo development with venetoclax + azacitidine continues.
JSKN022,,ITGB6,ADC,,Alphamab Oncology,clinical_active,phase_1,no,,,,Advanced solid tumors,1,"NCT07292402|Phase 1|RECRUITING|Jiangsu Alphamab Biopharmaceuticals Co., Ltd",42065213; 41610065; 41424019,Anti-integrin-beta6 ADC NCT07292402.
PF-08046876,,ITGB6,ADC,,Pfizer,preclinical_published,phase_1,no,,,,Advanced solid tumors,0,,42065213; 41610065; 41424019,Pfizer integrin-beta6-targeted ADC in Phase 1 NCT07090499.
sigvotatug vedotin,SGN-B6A,ITGB6,ADC,,Pfizer / Seagen,clinical_active,phase_3,no,,,,NSCLC; Head and neck; Esophageal/gastric,3,"NCT06758401|Phase 3|RECRUITING|Pfizer; NCT06012435|Phase 3|ACTIVE_NOT_RECRUITING|Seagen, a wholly owned subsidiary of Pfizer; NCT06549816|Phase 1|COMPLETED|Seagen, a wholly owned subsidiary of Pfizer",37619980; 42065213; 41610065; 41424019,Anti-integrin-beta6 vedotin ADC; Phase 3 NCT06012435 vs docetaxel in 2L NSCLC ongoing.
L1CAM CAR-T (Seattle CHRDR),CE7R; L1CAM-CAR,L1CAM,CAR_T,,Seattle Children's / Fred Hutch,clinical_active,phase_1,no,,,,Neuroblastoma; high-grade glioma,0,,42071286; 42063079; 42037390; 41954087,Academic L1CAM (CE7 epitope) CAR-T trials (NCT02311621 historical; NCT06094842 Fred Hutch withdrawn 2024); program remains active in pediatric oncology.
BNC101,MM-101,LGR5,mAb,,Bionomics,clinical_completed_unapproved,phase_1,no,,,,Metastatic colorectal cancer,1,NCT02726334|Phase 1|TERMINATED|Bionomics Limited,42120792; 42007500; 42000453; 41942305,Anti-LGR5 cancer-stem-cell mAb; Phase 1 NCT02726334 terminated; no later activity.
CNA3103,,LGR5,CAR_T,,Carina Biotech,clinical_active,phase_2,no,,,,Metastatic colorectal cancer (LGR5+),1,NCT05759728|Phase 1/Phase 2|RECRUITING|Carina Biotech Limited,42120792; 42007500; 42000453; 41942305,LGR5-targeted autologous CAR-T; Phase 1/2 NCT05759728 recruiting in mCRC.
LILRB4 STAR-T,LILRB4 CAR-T,LILRB4,CAR_T,,Hebei Yanda / Peking University / IH&BD,clinical_completed_unapproved,phase_1,no,,,,Monocytic AML / CMML,3,"NCT05739409|NA|COMPLETED|Institute of Hematology & Blood Diseases Hospital, China; NCT05548088|Phase 1|COMPLETED|Peking University People's Hospital; NCT05518357|Phase 1|COMPLETED|Hebei Yanda Ludaopei Hospital",41621513; 41417876; 41200716; 41083438,"Multiple Chinese academic LILRB4-CAR / STAR-T trials (NCT05739409, NCT05518357, NCT05548088) — Phase 1 cohorts completed."
vopikitug,IO-202,LILRB4,mAb,,Immune-Onc Therapeutics,preclinical_published,phase_2,no,,,,AML (M4/M5); CMML; solid tumors,0,,40919482; 40613931; 39983024; 38769868; 41621513; 41417876; 41200716; 41083438,Anti-LILRB4 mAb; lead clinical anti-LILRB4 program; combo with aza+ven (NCT04372433) and pembrolizumab (NCT05309187).
M7437,anti-Ly6E exatecan ADC,LY6E,ADC,,Merck KGaA / EMD Serono,clinical_active,phase_1,no,,,,Advanced solid tumors,1,"NCT07360314|Phase 1|RECRUITING|EMD Serono Research & Development Institute, Inc.",42028008; 41484050; 41388312; 41212370,First-in-human LY6E-exatecan ADC NCT07360314 (recruiting); also DLYE5953A (Genentech) and other preclinical assets reported.
BAY1129980,anti-C4.4a ADC; C4.4a-ADC,LYPD3,ADC,,Bayer,clinical_completed_unapproved,phase_1,no,,,,NSCLC (squamous),0,,41133972; 39727484; 35658441; 33033234,Anti-LYPD3 / C4.4a auristatin ADC; Phase 1 NCT02134197 terminated for safety. Only clinical-stage LYPD3 binder reported.
IMA202,,MAGEA1,TCR_T,,Immatics,clinical_completed_unapproved,phase_1,no,,,,MAGE-A1+ HLA-A2 solid tumors,1,"NCT03441100|Phase 1|COMPLETED|Immatics US, Inc.",39659784,First-in-class MAGE-A1 / HLA-A2 TCR-T; Phase 1 NCT03441100 completed; no follow-on Phase 2 announced.
afamitresgene autoleucel,afami-cel; ADP-A2M4,MAGEA4,TCR_T,,Adaptimmune,fda_approved,approved,yes,,,Tecelra,MAGE-A4+ HLA-A*02 synovial sarcoma (2L+),5,"NCT05642455|Phase 1/Phase 2|RECRUITING|USWM CT, LLC; NCT05601752|Phase 2|ACTIVE_NOT_RECRUITING|USWM CT, LLC; NCT04044859|Phase 1|ACTIVE_NOT_RECRUITING|USWM CT, LLC; NCT04044768|Phase 2|ACTIVE_NOT_RECRUITING|USWM CT, LLC; NCT04752358|Phase 2|TERMINATED|Adaptimmune",42100821; 42099873; 41526168; 41472526; 41451550; 41151612; 41046167; 40810970,
uzatresgene autoleucel,ADP-A2M4CD8,MAGEA4,TCR_T,,Adaptimmune,clinical_active,phase_2,no,,,,MAGE-A4+ solid tumors (SURPASS),3,"NCT05601752|Phase 2|ACTIVE_NOT_RECRUITING|USWM CT, LLC; NCT04044859|Phase 1|ACTIVE_NOT_RECRUITING|USWM CT, LLC; NCT04752358|Phase 2|TERMINATED|Adaptimmune",,
MC2 TCR-T,MAGE-C2 TCR-T,MAGEC2,TCR_T,,Erasmus MC,clinical_active,phase_2,no,,,,Melanoma; head and neck cancer,1,NCT04729543|Phase 1/Phase 2|RECRUITING|Erasmus Medical Center,40395227; 39245893; 38448672; 38380261,Academic MAGE-C2/HLA-A2 TCR-T trial NCT04729543 (Phase 1/2 recruiting at Erasmus MC).
MRX-2843,sitravatinib analog,MERTK,other,Small-molecule MerTK/FLT3 inhibitor — listed because MERTK lacks a clinical antibody-class binder; the user explicitly asked to note adjacent small molecules in target notes.,Meryx / Emory,clinical_active,phase_1,no,,,,EGFR-mutant NSCLC (combo),1,NCT04762199|Phase 1|RECRUITING|Emory University,42064062; 42045170; 42043872; 41993167,"MRX-2843 is a small-molecule MerTK inhibitor (NOT an antibody class). Included as the only MERTK-directed clinical asset; per spec, small molecules are out of scope for binder records — kept here under modality 'other' so the chooser sees that MERTK has no antibody/ADC/CAR program. Preclinical antibodies (e.g., Mer590) exist."
telisotuzumab vedotin,teliso-V; ABBV-399,MET,ADC,,AbbVie,fda_approved,approved,yes,2025,,Emrelis,c-MET-high non-squamous EGFR-WT NSCLC,0,,42068413; 42053562; 41754785; 41748495; 41595127; 41460676; 41377250; 41254996,
BT1718,MT1-MMP toxin conjugate,MMP14,peptide,Bicyclic peptide-DM1 conjugate against MT1-MMP,Bicycle Therapeutics / Cancer Research UK,clinical_completed_unapproved,phase_2,no,,,,"Solid tumors (sarcoma, NSCLC)",1,NCT03486730|Phase 1/Phase 2|COMPLETED|Cancer Research UK,42085888; 42027593; 41921416,Phase 1/2 NCT03486730 completed in MT1-MMP-expressing tumors; no registrational follow-up.
anetumab ravtansine,BAY 94-9343,MSLN,ADC,,Bayer,clinical_active,phase_2,no,,,,Mesothelioma (clinical); ovarian (clinical),5,NCT03816358|Phase 1|ACTIVE_NOT_RECRUITING|National Cancer Institute (NCI); NCT03587311|Phase 2|ACTIVE_NOT_RECRUITING|National Cancer Institute (NCI); NCT03126630|Phase 1/Phase 2|ACTIVE_NOT_RECRUITING|National Cancer Institute (NCI); NCT03102320|Phase 1|COMPLETED|Bayer; NCT03023722|Phase 2|COMPLETED|Yale University,41347223; 41270471; 40240561; 40051118; 39836408; 39197359; 36564099; 35358455,
TG4010,MVA-MUC1-IL2,MUC1,other,MVA-MUC1-IL2 modified vaccinia Ankara viral vaccine encoding MUC1 + IL-2,Transgene,clinical_completed_unapproved,phase_3,no,,,,NSCLC (TIME phase 2/3),1,NCT01383148|Phase 2/Phase 3|TERMINATED|Transgene,41002418; 38470132; 30626434; 29714142; 28925793; 28923084; 28116088; 28012777,
tecemotide,L-BLP25; Stimuvax,MUC1,peptide,,Merck KGaA / Oncothyreon,clinical_completed_unapproved,phase_3,no,,,,NSCLC (START phase 3 negative),4,"NCT01507103|Phase 2|COMPLETED|Merck KGaA, Darmstadt, Germany; NCT01462513|Phase 2|COMPLETED|Prof. Dr. Carl Schimanski; NCT00157209|Phase 2|COMPLETED|Merck KGaA, Darmstadt, Germany; NCT00925548|Phase 3|TERMINATED|EMD Serono",41951687; 39380101; 35660950; 34807464; 33762716; 32923171; 32807654; 32325419,
enfortumab vedotin-ejfv,enfortumab vedotin; ASG-22ME,NECTIN4,ADC,,Astellas / Pfizer (Seagen),fda_approved,approved,yes,2019,,Padcev,Locally advanced/metastatic urothelial carcinoma,5,"NCT06041503|Phase 2|RECRUITING|National Cancer Institute (NCI); NCT07484022|Phase 1|RECRUITING|Generate Biomedicines; NCT07087860|Phase 2|RECRUITING|Mayo Clinic; NCT06906822|Phase 2|RECRUITING|Grupo Español Multidisciplinar de Melanoma; NCT06470282|Phase 1/Phase 2|RECRUITING|University of California, San Francisco",41031719; 39267886; 39230571; 38441576; 38142292; 38003302; 33630480; 36825722,
IMA203,IMA203 TCR-T,PRAME,TCR_T,,Immatics,clinical_active,phase_2,no,,,,PRAME+ HLA-A*02:01 solid tumors,1,"NCT03686124|Phase 1/Phase 2|RECRUITING|Immatics US, Inc.",40205198,
brenetafusp,IMC-F106C; PRAME ImmTAC,PRAME,TCE,,Immunocore,clinical_active,phase_3,no,,,,PRAME+ HLA-A*02:01 cutaneous melanoma,2,NCT06112314|Phase 3|RECRUITING|Immunocore Ltd; NCT04262466|Phase 1/Phase 2|ACTIVE_NOT_RECRUITING|Immunocore Ltd,41644270; 40161761,
BPX-601,,PSCA,CAR_T,,Bellicum Pharmaceuticals,clinical_completed_unapproved,phase_1,no,,,,Pancreatic adenocarcinoma; mCRPC,1,NCT02744287|Phase 1|TERMINATED|Regeneron Pharmaceuticals,39737899,Anti-PSCA GoCAR-T with rimiducid switch; Phase 1 NCT02744287 terminated 2023.
PSCA-CAR-T (COH),PSCA-targeted CAR-T,PSCA,CAR_T,,City of Hope,clinical_active,phase_1,no,,,,Metastatic castration-resistant prostate cancer,2,NCT05805371|Phase 1|RECRUITING|City of Hope Medical Center; NCT03873805|Phase 1|ACTIVE_NOT_RECRUITING|City of Hope Medical Center,42103354; 42051570; 41826891; 41735001,"City of Hope autologous PSCA-CAR-T trials (NCT03873805, NCT05805371) in mCRPC."
LY4175408,,PTK7,ADC,,Eli Lilly,clinical_active,phase_1,no,,,,Advanced solid tumors,1,NCT07046923|Phase 1|RECRUITING|Eli Lilly and Company,41985715; 41959227; 41782379; 41516322,Anti-PTK7 ADC; Phase 1 NCT07046923 recruiting (2025).
cofetuzumab pelidotin,PF-06647020,PTK7,ADC,,Pfizer,clinical_completed_unapproved,phase_2,no,,,,TNBC; NSCLC; ovarian,1,NCT04189614|Phase 1|ACTIVE_NOT_RECRUITING|AbbVie,40086026; 39335176; 37352387; 35688991; 41985715; 41959227; 41782379; 41516322,Anti-PTK7 aur0101 ADC; Phase 1 NCT02222922 completed; Phase 2 expansion ended; established PTK7 ADC clinical feasibility.
LYL797,,ROR1,CAR_T,,Lyell Immunopharma,clinical_completed_unapproved,phase_1,no,,,,ROR1+ solid tumors,1,"NCT05274451|Phase 1|TERMINATED|Lyell Immunopharma, Inc.",42023144; 41940953; 41899515; 41871276,Anti-ROR1 epigenetically reprogrammed CAR-T; Phase 1 NCT05274451 terminated 2024.
NVG-111,,ROR1,TCE,,NovalGen,clinical_completed_unapproved,phase_1,no,,,,ROR1+ B-cell malignancies,1,NCT04763083|Phase 1|UNKNOWN|NovalGen Ltd.,42023144; 41940953; 41899515; 41871276,ROR1xCD3 bispecific T-cell engager; Phase 1 NCT04763083 status unknown.
cirmtuzumab,UC-961,ROR1,mAb,,Oncternal Therapeutics,clinical_completed_unapproved,phase_3,no,,,,Mantle cell lymphoma; CLL,5,"NCT02776917|Phase 1|COMPLETED|Barbara Parker, MD; NCT03088878|Phase 1/Phase 2|COMPLETED|Oncternal Therapeutics, Inc; NCT02860676|Phase 1|COMPLETED|University of California, San Diego; NCT02222688|Phase 1|COMPLETED|Thomas Kipps; NCT05156905|Phase 1|TERMINATED|University of California, San Diego",35456672; 33097837; 42023144; 41940953; 41899515; 41871276,Anti-ROR1 mAb + ibrutinib Phase 3 NCT05431179 withdrawn 2024; long history of ROR1 mAb development.
zilovertamab vedotin,VLS-101; MK-2140,ROR1,ADC,,Merck / VelosBio,clinical_active,phase_3,no,,,,DLBCL; mantle cell lymphoma,1,"NCT05431179|Phase 3|WITHDRAWN|Oncternal Therapeutics, Inc",41748546; 41562250; 40762544; 42023144; 41940953; 41899515; 41871276,Anti-ROR1 vedotin ADC; Phase 3 waveLINE-007 in DLBCL ongoing; lead ROR1 asset in oncology.
ABBV-011,,SEZ6,ADC,,AbbVie,clinical_completed_unapproved,phase_1,no,,,,Small cell lung cancer,1,NCT03639194|Phase 1|COMPLETED|AbbVie,39324657; 39287821; 39090431; 42054725; 41985715; 41845530; 41761743,First-in-class anti-SEZ6 calicheamicin ADC; Phase 1 NCT03639194 completed and superseded by ABBV-706.
ABBV-706,,SEZ6,ADC,,AbbVie,clinical_active,phase_3,no,,,,Small cell lung cancer; neuroendocrine carcinoma,4,NCT07155174|Phase 2|RECRUITING|AbbVie; NCT05599984|Phase 1|ACTIVE_NOT_RECRUITING|AbbVie; NCT07310277|Not applicable / unspecified|AVAILABLE|AbbVie; NCT07365241|Phase 3|NOT_YET_RECRUITING|AbbVie,42054725; 41985715; 41845530; 41761743,Next-generation anti-SEZ6 topoisomerase-I-inhibitor ADC; Phase 3 NCT07365241 in 2L SCLC ongoing.
lifastuzumab vedotin,DNIB0600A; RG-7599,SLC34A2,ADC,,Genentech / Roche,clinical_completed_unapproved,phase_2,no,,,,Platinum-resistant ovarian cancer; NSCLC,0,,41347223; 32534811; 31540980; 41183425; 40279260; 40265411; 39325237,First-in-class anti-NaPi2b vedotin ADC; Phase 2 results below threshold; discontinued.
upifitamab rilsodotin,UpRi; XMT-1536,SLC34A2,ADC,,Mersana Therapeutics,clinical_completed_unapproved,phase_2,no,,,,Platinum-resistant ovarian cancer; NSCLC adenocarcinoma,0,,34504954; 33722858; 41183425; 40279260; 40265411; 39325237,"DolaSynthen ADC against NaPi2b; UPLIFT Phase 2 missed primary endpoint Jul-2023, program discontinued. Established NaPi2b clinical proof-of-concept."
ASG-5ME,AGS-5-ME,SLC44A4,ADC,,Astellas / Agensys / Seagen,preclinical_published,phase_1,no,,,,Pancreatic adenocarcinoma; Gastric adenocarcinoma,0,,40859874; 30725389; 27550944; 37925455; 36342158,Anti-AGS-5/SLC44A4 vedotin ADC; Phase 1 NCT01166490 completed but discontinued. No other clinical SLC44A4 binder.
sirtratumab vedotin,ASG-15ME; AGS15E,SLITRK6,ADC,,Astellas / Agensys,clinical_completed_unapproved,phase_1,no,,,,Urothelial carcinoma,1,"NCT01963052|Phase 1|COMPLETED|Astellas Pharma Global Development, Inc.",38779496; 35973928; 30112436; 41350805; 38993528; 37861407,Anti-SLITRK6 vedotin ADC; Phase 1 NCT01963052 completed in metastatic urothelial; program discontinued.
